Id;Pred
1;wilde
2;doyle
3;austen
4;austen
5;austen
6;doyle
7;austen
8;austen
9;twain
10;austen
11;austen
12;austen
13;doyle
14;austen
15;austen
16;twain
17;twain
18;austen
19;twain
20;austen
21;shakespeare
22;doyle
23;austen
24;twain
25;twain
26;austen
27;austen
28;doyle
29;austen
30;doyle
31;austen
32;shakespeare
33;austen
34;twain
35;wilde
36;twain
37;wilde
38;austen
39;austen
40;doyle
41;austen
42;doyle
43;wilde
44;twain
45;austen
46;wilde
47;wilde
48;doyle
49;twain
50;twain
51;austen
52;doyle
53;austen
54;doyle
55;twain
56;twain
57;austen
58;doyle
59;shakespeare
60;twain
61;twain
62;twain
63;twain
64;shakespeare
65;twain
66;austen
67;austen
68;austen
69;wilde
70;doyle
71;twain
72;shakespeare
73;doyle
74;doyle
75;twain
76;twain
77;shakespeare
78;twain
79;shakespeare
80;wilde
81;doyle
82;twain
83;austen
84;austen
85;austen
86;wilde
87;twain
88;twain
89;austen
90;austen
91;twain
92;austen
93;twain
94;austen
95;austen
96;twain
97;wilde
98;austen
99;twain
100;austen
101;doyle
102;austen
103;shakespeare
104;austen
105;doyle
106;twain
107;austen
108;shakespeare
109;austen
110;twain
111;austen
112;doyle
113;austen
114;twain
115;doyle
116;twain
117;austen
118;doyle
119;austen
120;doyle
121;austen
122;twain
123;austen
124;austen
125;twain
126;wilde
127;twain
128;twain
129;austen
130;austen
131;doyle
132;austen
133;doyle
134;twain
135;twain
136;doyle
137;doyle
138;austen
139;twain
140;shakespeare
141;austen
142;austen
143;twain
144;austen
145;austen
146;austen
147;doyle
148;austen
149;doyle
150;doyle
151;doyle
152;doyle
153;shakespeare
154;twain
155;austen
156;austen
157;doyle
158;doyle
159;austen
160;doyle
161;austen
162;wilde
163;austen
164;shakespeare
165;austen
166;wilde
167;austen
168;austen
169;austen
170;doyle
171;austen
172;austen
173;doyle
174;twain
175;wilde
176;austen
177;poe
178;twain
179;twain
180;doyle
181;austen
182;doyle
183;twain
184;doyle
185;doyle
186;doyle
187;doyle
188;austen
189;austen
190;twain
191;twain
192;doyle
193;austen
194;twain
195;austen
196;shakespeare
197;twain
198;austen
199;shakespeare
200;austen
201;twain
202;austen
203;austen
204;twain
205;doyle
206;wilde
207;twain
208;doyle
209;austen
210;twain
211;austen
212;doyle
213;austen
214;twain
215;twain
216;twain
217;austen
218;doyle
219;wilde
220;doyle
221;austen
222;wilde
223;wilde
224;austen
225;twain
226;austen
227;wilde
228;shakespeare
229;doyle
230;shakespeare
231;austen
232;austen
233;twain
234;wilde
235;austen
236;doyle
237;doyle
238;wilde
239;austen
240;austen
241;wilde
242;austen
243;doyle
244;doyle
245;austen
246;austen
247;austen
248;twain
249;austen
250;shakespeare
251;shakespeare
252;twain
253;wilde
254;austen
255;shakespeare
256;twain
257;twain
258;twain
259;doyle
260;austen
261;wilde
262;austen
263;poe
264;shakespeare
265;poe
266;twain
267;doyle
268;wilde
269;twain
270;twain
271;austen
272;austen
273;austen
274;austen
275;austen
