id;Pred
1;2
2;22
3;23
4;1
5;20
6;27
7;28
8;15
9;10
10;17
11;2
12;17
13;22
14;27
15;24
16;19
17;2
18;19
19;17
20;24
21;25
22;23
23;25
24;19
25;17
26;17
27;20
28;24
29;29
30;1
31;15
32;28
33;17
34;20
35;19
36;28
37;15
38;10
39;23
40;28
41;26
42;22
43;2
44;29
45;26
46;2
47;15
48;26
49;23
50;17
51;22
52;24
53;29
54;23
55;26
56;23
57;10
58;17
59;10
60;24
61;27
62;15
63;10
64;1
65;25
66;28
67;20
68;20
69;10
70;10
71;22
72;19
73;22
74;29
75;25
76;19
77;27
78;15
79;1
80;1
81;15
82;1
83;15
84;19
85;26
86;20
87;1
88;10
89;2
90;20
91;27
92;28
93;1
94;17
95;25
96;1
97;29
98;2
99;20
100;28
101;17
102;17
103;1
104;25
105;28
106;24
107;17
108;17
109;17
110;1
111;28
112;24
113;26
114;28
115;15
116;27
117;22
118;17
119;2
120;10
121;27
122;28
123;27
124;26
125;25
126;27
127;28
128;17
129;2
130;27
131;23
132;29
133;26
134;28
135;26
136;22
137;17
138;10
139;2
140;28
141;1
142;24
143;22
144;27
145;29
146;24
147;28
148;15
149;2
150;10
151;20
152;23
153;24
154;1
155;25
156;2
157;28
158;19
159;1
160;10
161;27
162;2
163;1
164;2
165;28
166;23
167;10
168;22
169;1
170;15
171;23
172;26
173;27
174;23
175;1
176;23
177;28
178;17
179;10
180;23
181;19
182;20
183;15
184;26
185;27
186;24
187;20
188;1
189;29
190;29
191;20
192;25
193;19
194;24
195;15
196;29
197;24
198;27
199;20
200;29
201;25
202;23
203;28
204;2
205;29
206;19
207;28
208;17
209;26
210;25
211;23
212;19
213;17
214;19
215;28
216;24
217;19
218;22
219;19
220;26
221;29
222;19
223;17
224;20
225;10
226;15
227;20
228;2
229;19
230;20
231;17
232;23
233;17
234;17
235;28
236;23
237;29
238;28
239;10
240;28
241;24
242;10
243;1
244;1
245;20
246;22
247;17
248;29
249;10
250;15
251;1
252;15
253;10
254;2
255;1
256;26
257;1
258;24
259;15
260;10
261;29
262;2
263;26
264;17
265;17
266;28
267;25
268;17
269;2
270;25
271;24
272;17
273;15
274;22
275;29
276;1
277;19
278;10
279;15
280;17
281;19
282;1
283;1
284;2
285;19
286;26
287;1
288;15
289;15
290;2
291;10
292;23
293;1
294;28
295;1
296;26
297;19
298;28
299;19
300;28
301;10
302;24
303;25
304;26
305;27
306;20
307;25
308;27
309;28
310;26
311;28
312;26
313;2
314;19
315;22
316;29
317;19
318;29
319;20
320;17
321;17
322;29
323;17
324;27
325;10
326;28
327;15
328;20
329;29
330;10
331;25
332;27
333;17
334;15
335;25
336;20
337;1
338;25
339;23
340;1
341;20
342;2
343;15
344;15
345;10
346;20
347;29
348;1
349;15
350;17
351;1
352;15
353;20
354;25
355;10
356;1
357;28
358;27
359;24
360;22
361;1
362;19
363;17
364;10
365;2
366;17
367;20
368;2
369;28
370;10
371;26
372;15
373;17
374;2
375;17
376;24
377;1
378;17
379;27
380;2
381;2
382;15
383;15
384;10
385;22
386;26
387;24
388;26
389;20
390;2
391;19
392;27
393;24
394;17
395;28
396;26
397;1
398;26
399;22
400;23
401;22
402;26
403;20
404;15
405;28
406;24
407;27
408;17
409;20
410;22
411;2
412;28
413;15
414;20
415;23
416;24
417;2
418;19
419;17
420;19
421;19
422;26
423;26
424;24
425;15
426;1
427;17
428;23
429;2
430;25
431;22
432;26
433;24
434;2
435;15
436;19
437;1
438;29
439;19
440;10
441;22
442;19
443;2
444;10
445;17
446;17
447;24
448;22
449;24
450;20
451;15
452;29
453;20
454;15
455;27
456;25
457;20
458;10
459;1
460;1
461;29
462;26
463;24
464;15
465;10
466;20
467;15
468;29
469;19
470;17
471;28
472;29
473;17
474;15
475;17
476;10
477;10
478;2
479;28
480;19
481;24
482;26
483;17
484;24
485;22
486;2
487;26
488;10
489;25
490;29
491;23
492;24
493;23
494;2
495;28
496;29
497;19
498;23
499;17
500;19
501;28
502;27
503;22
504;27
505;23
506;25
507;22
508;24
509;20
510;1
511;28
512;23
513;29
514;19
515;26
516;24
517;10
518;29
519;10
520;27
521;29
522;23
523;19
524;24
525;29
526;17
527;20
528;10
529;15
530;22
531;25
532;10
533;22
534;20
535;28
536;28
537;24
538;19
539;1
540;20
541;25
542;15
543;29
544;20
545;17
546;28
547;27
548;24
549;28
550;27
551;2
552;26
553;10
554;19
555;29
556;19
557;20
558;24
559;17
560;26
561;15
562;23
563;2
564;17
565;2
566;19
567;26
568;20
569;1
570;19
571;27
572;26
573;27
574;24
575;29
576;10
577;17
578;19
579;27
580;24
581;20
582;20
583;10
584;25
585;19
586;26
587;29
588;25
589;28
590;26
591;26
592;15
593;27
594;15
595;17
596;17
597;25
598;17
599;23
600;26
601;28
602;2
603;2
604;22
605;22
606;25
607;28
608;28
609;29
610;29
611;24
612;28
613;19
614;29
615;26
616;2
617;23
618;25
619;25
620;19
621;2
622;24
623;10
624;10
625;20
626;10
627;24
628;28
629;15
630;2
631;28
632;17
633;24
634;24
