id;Pred
1;28
2;17
3;23
4;25
5;15
6;25
7;24
8;26
9;1
10;23
11;24
12;25
13;25
14;25
15;26
16;25
17;2
18;28
19;15
20;15
21;27
22;20
23;1
24;25
25;25
26;2
27;26
28;2
29;22
30;20
31;15
32;29
33;1
34;1
35;1
36;15
37;25
38;22
39;29
40;27
41;25
42;29
43;15
44;26
45;25
46;17
47;27
48;10
49;24
50;2
51;25
52;17
53;17
54;23
55;26
56;1
57;24
58;10
59;25
60;15
61;15
62;17
63;1
64;17
65;26
66;15
67;19
68;25
69;19
70;20
71;10
72;2
73;20
74;26
75;22
76;29
77;1
78;28
79;20
80;25
81;25
82;23
83;29
84;17
85;15
86;2
87;23
88;20
89;24
90;10
91;1
92;24
93;25
94;24
95;17
96;19
97;26
98;20
99;19
100;29
101;22
102;2
103;15
104;19
105;29
106;28
107;23
108;10
109;25
110;2
111;1
112;19
113;25
114;10
115;26
116;10
117;2
118;25
119;27
120;2
121;28
122;24
123;26
124;25
125;1
126;20
127;20
128;26
129;28
130;29
131;24
132;25
133;24
134;25
135;24
136;15
137;10
138;24
139;10
140;28
141;1
142;27
143;23
144;19
145;22
146;24
147;20
148;15
149;10
150;2
151;2
152;20
153;25
154;29
155;19
156;26
157;20
158;15
159;10
160;17
161;23
162;25
163;17
164;25
165;15
166;27
167;22
168;29
169;25
170;19
171;24
172;19
173;26
174;25
175;23
176;24
177;24
178;29
179;27
180;28
181;15
182;1
183;29
184;28
185;10
186;19
187;2
188;28
189;10
190;17
191;26
192;20
193;10
194;22
195;10
196;29
197;1
198;25
199;15
200;24
201;23
202;17
203;25
204;19
205;22
206;29
207;27
208;22
209;10
210;23
211;26
212;29
213;28
214;15
215;19
216;25
217;10
218;10
219;19
220;23
221;26
222;19
223;17
224;17
225;15
226;26
227;25
228;24
229;10
230;27
231;19
232;25
233;19
234;25
235;26
236;25
237;1
238;26
239;15
240;1
241;20
242;10
243;26
244;23
245;17
246;22
247;23
248;27
249;26
250;27
251;19
252;20
253;25
254;23
255;25
256;26
257;26
258;25
259;15
260;2
261;26
262;25
263;28
264;25
265;25
266;27
267;25
268;19
269;19
270;22
271;2
272;28
273;2
274;25
275;15
276;23
277;1
278;22
279;10
280;23
281;25
282;15
283;1
284;25
285;10
286;27
287;25
288;27
289;1
290;24
291;15
292;23
293;15
294;15
295;25
296;23
297;1
298;25
299;20
300;15
301;28
302;2
303;1
304;15
305;24
306;15
307;28
308;19
309;2
310;2
311;20
312;17
313;25
314;10
315;19
316;24
317;17
318;1
319;15
320;25
321;15
322;20
323;19
324;27
325;23
326;2
327;29
328;23
329;10
330;2
331;19
332;2
333;1
334;2
335;20
336;2
337;19
338;22
339;29
340;1
341;10
342;20
343;15
344;25
345;29
346;29
347;10
348;15
349;27
350;29
351;17
352;19
353;26
354;10
355;23
356;15
357;27
358;29
359;22
360;17
361;27
362;2
363;25
364;29
365;17
366;25
367;22
368;19
369;2
370;10
371;10
372;24
373;24
374;20
375;26
376;19
377;2
378;25
379;27
380;29
381;23
382;29
383;10
384;1
385;28
386;15
387;10
388;19
389;15
390;28
391;10
392;28
393;24
394;25
395;1
396;25
397;1
398;24
399;29
400;1
401;20
402;26
403;24
404;26
405;2
406;25
407;10
408;25
409;25
410;2
411;19
412;2
413;29
414;26
415;19
416;22
417;27
418;15
419;26
420;20
421;23
422;1
423;15
424;2
425;25
426;15
427;15
428;19
429;1
430;25
431;1
432;10
433;27
434;29
435;19
436;28
437;10
438;25
439;25
440;15
441;23
442;1
443;26
444;22
445;25
446;20
447;23
448;29
449;19
450;2
451;28
452;10
453;15
454;23
455;22
456;1
457;22
458;10
459;19
460;1
461;10
462;19
463;19
464;1
465;2
466;25
467;1
468;19
469;23
470;20
471;2
472;25
473;27
474;15
475;25
476;15
477;19
478;24
479;29
480;19
481;29
482;2
483;29
484;10
485;10
486;15
487;19
488;10
489;10
490;17
491;10
492;24
493;22
494;10
495;23
496;25
497;1
498;1
499;19
500;26
501;15
502;15
503;29
504;29
505;23
506;26
507;17
508;24
509;2
510;20
511;22
512;25
513;19
514;23
515;25
516;25
517;23
518;15
519;23
520;29
521;15
522;22
523;19
524;15
525;25
526;28
527;24
528;10
529;1
530;24
531;28
532;17
533;2
534;20
535;24
536;20
537;22
538;19
539;28
540;2
541;24
542;10
543;15
544;23
545;1
546;20
547;26
548;27
549;20
550;1
551;20
552;1
553;26
554;10
555;28
556;2
557;10
558;15
559;10
560;1
561;25
562;23
563;25
564;28
565;1
566;24
567;28
568;20
569;1
570;29
571;10
572;15
573;24
574;17
575;1
576;26
577;17
578;2
579;1
580;19
581;23
582;19
583;25
584;19
585;10
586;15
587;25
588;24
589;26
590;29
591;10
592;24
593;15
594;15
595;1
596;15
597;22
598;1
599;25
600;15
601;25
602;26
603;15
604;15
605;23
606;1
607;23
608;15
609;10
610;25
611;26
612;24
613;26
614;15
615;15
616;25
617;20
618;15
619;26
620;10
621;25
622;24
623;20
624;26
625;1
626;28
627;19
628;19
629;2
630;28
631;23
632;28
633;25
634;28
635;26
636;23
637;20
638;20
639;20
640;10
641;22
642;23
643;29
644;20
645;23
646;25
647;1
648;15
649;20
650;15
651;1
652;19
653;20
654;29
655;2
656;1
657;26
658;1
659;2
660;24
661;24
662;19
663;23
664;25
665;24
666;1
667;23
668;28
669;25
670;25
671;10
672;25
673;25
674;10
675;19
676;24
677;1
678;15
679;19
680;25
681;10
682;19
683;2
684;15
685;24
686;23
687;15
688;29
689;26
690;24
691;1
692;28
693;19
694;15
695;27
696;23
697;27
698;19
699;24
700;1
701;10
702;26
703;22
704;24
705;22
706;26
707;15
708;10
709;2
710;25
711;15
712;25
713;15
714;24
715;24
716;25
717;25
718;23
719;15
720;23
721;19
722;19
723;26
724;17
725;24
726;25
727;2
728;29
729;22
730;25
731;20
732;20
733;23
734;25
735;25
736;24
737;2
738;19
739;26
740;20
741;10
742;26
743;27
744;23
745;29
746;1
747;29
748;25
749;23
750;22
751;15
752;19
753;19
754;1
755;29
756;2
757;19
758;17
759;29
760;17
761;19
762;25
763;2
764;10
765;29
766;24
767;26
768;26
769;20
770;17
771;19
772;28
773;29
774;19
775;20
776;22
777;25
778;17
779;24
780;10
781;10
782;25
783;19
784;27
785;23
786;27
787;1
788;10
789;29
790;1
791;10
792;26
793;1
794;28
795;22
796;29
797;15
798;23
799;23
800;10
801;22
802;15
803;20
804;1
805;29
806;26
807;19
808;15
809;1
810;23
811;1
812;10
813;2
814;28
815;26
816;23
817;24
818;25
819;10
820;15
821;1
822;25
823;23
824;10
825;19
826;22
827;22
828;29
829;29
830;23
831;26
832;2
833;2
834;20
835;2
836;25
837;2
838;23
839;23
840;2
841;2
842;26
843;15
844;10
845;15
846;17
847;19
848;26
849;25
850;2
851;23
852;15
853;1
854;1
855;15
856;10
857;10
858;24
859;2
860;25
861;10
862;17
863;17
864;2
865;20
866;26
867;25
868;23
869;2
870;1
871;2
872;24
873;15
874;25
875;24
876;28
877;26
878;23
879;25
880;17
881;15
882;19
883;25
884;29
885;29
886;1
887;1
888;10
889;17
890;10
891;26
892;19
893;23
894;10
895;23
896;23
897;15
898;23
899;10
900;19
901;15
902;1
903;23
904;1
905;2
906;2
907;19
908;2
909;28
910;23
911;28
912;1
913;10
914;25
915;22
916;17
917;26
918;15
919;1
920;19
921;2
922;29
923;10
924;26
925;25
926;24
927;15
928;17
929;15
930;1
931;28
932;28
933;27
934;10
935;2
936;1
937;19
938;22
939;24
940;25
941;24
942;15
943;10
944;27
945;28
946;10
947;25
948;1
949;2
950;20
951;23
952;24
953;1
954;20
955;24
956;25
957;28
958;1
959;28
960;25
961;28
962;2
963;10
964;27
965;1
966;2
967;1
968;10
969;24
970;1
971;20
972;22
973;26
974;1
975;1
976;1
977;22
978;20
979;29
980;1
981;23
982;20
983;26
984;2
985;1
986;2
987;17
988;20
989;2
990;24
991;26
992;17
993;28
994;2
995;19
996;24
997;10
998;10
999;26
1000;22
1001;10
1002;1
1003;19
1004;24
1005;29
1006;19
1007;19
1008;29
1009;28
1010;29
1011;23
1012;26
1013;22
1014;19
1015;17
1016;20
1017;23
1018;25
1019;15
1020;1
1021;2
1022;24
1023;28
1024;19
1025;2
1026;2
1027;26
1028;15
1029;19
1030;10
1031;10
1032;19
1033;10
1034;20
1035;2
1036;22
1037;29
1038;28
1039;24
1040;19
1041;1
1042;24
1043;25
1044;2
1045;24
1046;15
1047;15
1048;26
1049;19
1050;23
1051;24
1052;17
1053;15
1054;15
1055;2
1056;24
1057;28
1058;19
1059;15
1060;2
1061;2
1062;25
1063;23
1064;26
1065;25
1066;26
1067;24
1068;25
1069;20
1070;2
1071;19
1072;1
1073;23
1074;15
1075;24
1076;24
1077;15
1078;17
1079;22
1080;20
1081;27
1082;15
1083;1
1084;2
1085;1
1086;20
1087;10
1088;2
1089;15
1090;25
1091;22
1092;26
1093;24
1094;29
1095;24
1096;25
1097;10
1098;1
1099;15
1100;15
1101;24
1102;22
1103;25
1104;23
1105;15
1106;27
1107;23
1108;29
1109;25
1110;1
1111;17
1112;25
1113;26
1114;25
1115;25
1116;24
1117;1
1118;17
1119;1
1120;19
1121;24
1122;22
1123;2
1124;28
1125;1
1126;25
1127;20
1128;15
1129;26
1130;15
1131;22
1132;29
1133;17
1134;29
1135;15
1136;22
1137;1
1138;26
1139;19
1140;15
1141;15
1142;10
1143;10
1144;10
1145;29
1146;23
1147;25
1148;23
1149;10
1150;24
1151;15
1152;20
1153;24
1154;22
1155;25
1156;27
1157;19
1158;1
1159;20
1160;28
1161;25
1162;19
1163;15
1164;15
1165;19
1166;24
1167;19
1168;15
1169;25
1170;25
1171;29
1172;27
1173;15
1174;29
1175;10
1176;2
1177;15
1178;24
1179;2
1180;29
1181;24
1182;20
1183;2
1184;10
1185;17
1186;10
1187;22
1188;28
1189;20
1190;2
1191;19
1192;24
1193;10
1194;23
1195;25
1196;17
1197;19
1198;10
1199;10
1200;17
1201;25
1202;15
1203;20
1204;25
1205;25
1206;24
1207;25
1208;10
1209;15
1210;17
1211;19
1212;15
1213;10
1214;19
1215;19
1216;10
1217;1
1218;17
1219;27
1220;15
1221;10
1222;2
1223;2
1224;2
1225;19
1226;24
1227;24
1228;26
1229;28
1230;1
1231;25
1232;1
1233;24
1234;24
1235;29
1236;10
1237;25
1238;29
1239;24
1240;24
1241;15
1242;28
1243;1
1244;2
1245;15
1246;10
1247;25
1248;19
1249;2
1250;19
1251;19
1252;26
1253;26
1254;27
1255;25
1256;23
1257;10
1258;15
1259;25
1260;19
1261;2
1262;23
1263;1
1264;25
1265;19
1266;22
1267;25
1268;15
1269;17
1270;2
1271;27
1272;1
1273;2
1274;15
1275;15
1276;28
1277;10
1278;27
1279;19
1280;1
1281;23
1282;10
1283;10
1284;2
1285;10
1286;25
1287;25
1288;19
1289;15
1290;29
1291;20
1292;10
1293;17
1294;25
1295;1
1296;19
1297;19
1298;29
1299;17
1300;1
1301;10
1302;23
1303;23
1304;1
1305;1
1306;28
