id;prediction
1;17
2;19
3;15
4;19
5;25
6;19
7;25
8;17
9;23
10;19
11;23
12;23
13;23
14;19
15;23
16;19
17;19
18;19
19;15
20;24
21;15
22;25
23;25
24;15
25;15
26;19
27;10
28;23
29;19
30;15
31;19
32;19
33;17
34;23
35;19
36;25
37;23
38;10
39;17
40;25
41;25
42;25
43;19
44;25
45;19
46;19
47;25
48;17
49;23
50;17
51;15
52;23
53;25
54;23
55;23
56;25
57;15
58;23
59;19
60;25
61;19
62;19
63;23
64;19
65;23
66;15
67;24
68;24
69;17
70;17
71;25
72;19
73;19
74;25
75;25
76;17
77;15
78;25
79;19
80;19
81;15
82;19
83;15
84;19
85;23
86;23
87;17
88;10
89;19
90;23
91;19
92;23
93;17
94;10
95;19
96;17
97;23
98;19
99;23
100;15
101;15
102;25
103;19
104;19
105;15
106;17
107;19
108;15
109;19
110;23
111;19
112;23
113;23
114;19
115;15
116;19
117;25
118;15
119;19
120;23
121;19
122;25
123;15
124;19
125;17
126;19
127;25
128;17
129;15
130;25
131;23
132;19
133;19
134;19
135;19
136;23
137;17
138;17
139;23
140;23
141;25
142;15
143;25
144;15
145;19
146;10
147;23
148;19
149;17
150;10
151;23
152;25
153;23
154;23
155;25
156;25
157;17
158;17
159;23
160;15
161;23
162;19
163;19
164;19
165;25
166;19
167;17
168;19
169;10
170;19
171;23
172;19
173;25
174;10
175;23
176;23
177;19
178;19
179;23
180;25
181;19
182;15
183;19
184;17
185;23
186;23
187;17
188;15
189;19
190;19
191;23
192;25
193;17
194;25
195;19
196;15
197;23
198;19
199;25
200;19
201;19
202;17
203;15
204;19
205;19
206;25
207;15
208;19
209;25
210;25
211;23
212;19
213;17
214;19
215;25
216;17
217;23
218;19
219;25
220;17
221;19
222;19
223;25
224;23
225;17
226;15
227;17
228;17
229;24
230;19
231;15
232;23
233;25
234;23
235;19
236;15
237;15
238;15
239;10
240;19
241;24
242;10
243;17
244;10
245;24
246;19
247;17
248;15
249;15
250;15
251;15
252;19
253;24
254;19
255;23
256;15
257;23
258;25
259;19
260;24
261;19
262;19
263;15
264;17
265;19
266;23
267;15
268;23
269;19
270;19
271;15
272;15
273;23
274;23
275;19
276;17
277;19
278;17
279;19
280;15
281;19
282;15
283;25
284;15
285;19
286;23
287;19
288;19
289;19
290;15
291;23
292;25
293;19
294;25
295;10
296;23
297;23
298;19
299;19
300;19
301;17
302;19
303;17
304;19
305;19
306;23
307;19
308;19
309;23
310;19
311;15
312;17
313;19
314;25
315;15
316;15
317;10
318;15
319;25
320;23
321;17
322;19
323;23
324;25
325;10
326;25
327;23
328;17
329;19
330;23
331;19
332;19
333;17
334;17
335;25
336;23
337;15
338;17
339;25
340;19
341;17
342;19
343;15
344;19
345;17
346;17
347;25
348;25
349;17
350;17
351;19
352;15
353;23
354;25
355;25
356;19
357;19
358;25
359;23
360;10
361;23
362;17
363;15
364;10
365;19
366;19
367;24
368;19
369;23
370;23
371;23
372;19
373;15
374;19
375;17
376;19
377;19
378;15
379;17
380;17
381;19
382;23
383;23
384;17
385;23
386;15
387;19
388;15
389;15
390;17
391;19
392;17
393;17
394;15
395;23
396;23
397;15
398;17
399;15
400;17
401;19
402;23
403;25
404;19
405;19
406;17
407;19
408;19
409;15
410;17
411;15
412;15
413;19
414;10
415;15
416;15
417;25
418;15
419;19
420;23
421;19
422;15
423;17
424;17
425;15
426;10
427;19
428;19
429;19
430;25
431;23
432;25
433;25
434;19
435;19
436;17
437;19
438;19
439;19
440;23
441;23
442;19
443;19
444;19
445;17
446;17
447;24
448;15
449;23
450;24
451;19
452;25
453;25
454;19
455;15
456;17
457;24
458;17
459;15
460;19
461;17
462;17
463;17
464;19
465;23
466;23
467;19
468;23
469;19
470;19
471;19
472;23
473;25
474;19
475;17
476;10
477;17
478;19
479;25
480;19
481;23
482;19
483;25
484;19
485;25
486;25
487;17
488;19
489;15
490;23
491;17
492;19
493;17
494;15
495;15
496;19
497;19
498;10
499;17
500;10
501;19
502;19
503;25
504;19
505;10
506;25
507;17
508;23
509;25
510;23
511;19
512;17
513;15
514;25
515;15
516;19
517;17
518;25
519;10
520;19
521;25
522;23
523;17
524;23
525;19
526;25
527;24
528;15
529;19
530;19
531;19
532;10
533;15
534;25
535;19
536;19
537;19
538;15
539;25
540;17
541;19
542;19
543;19
544;23
545;19
546;19
547;23
548;23
549;15
550;19
551;25
552;17
553;15
554;15
555;19
556;25
557;24
558;17
559;19
560;19
561;19
562;23
563;17
564;17
565;19
566;19
567;23
568;23
569;25
570;19
571;17
572;23
573;19
574;17
575;15
576;23
577;15
578;10
579;19
580;10
581;24
582;19
583;10
584;19
585;19
586;17
587;19
588;25
589;25
590;15
591;23
592;25
593;25
594;15
595;17
596;19
597;25
598;15
599;23
600;25
601;15
602;17
603;25
604;25
605;23
606;19
607;19
608;15
609;19
610;15
611;15
612;19
613;19
614;19
615;19
616;19
617;23
618;25
619;23
620;19
621;23
622;25
623;10
624;10
625;23
626;10
627;23
628;19
629;15
630;19
631;19
632;17
633;19
634;10
635;23
636;19
637;19
638;19
639;17
640;10
641;19
642;23
643;15
644;19
645;23
646;25
647;19
648;19
649;19
650;23
651;19
652;19
653;10
654;15
655;17
656;19
657;23
658;17
659;25
660;19
661;19
662;25
663;23
664;15
665;19
666;19
667;23
668;23
669;17
670;10
671;19
672;17
673;23
674;25
675;17
676;23
677;15
678;25
679;17
680;17
681;19
682;23
683;15
684;19
685;15
686;19
687;25
688;23
689;19
690;10
691;15
692;17
693;17
694;25
695;17
696;15
697;17
698;19
699;19
700;17
701;19
702;25
703;24
704;19
705;23
706;23
707;15
708;19
709;23
710;23
711;17
712;15
713;19
714;23
715;19
716;17
717;17
718;17
719;23
720;23
721;17
722;25
